"Plot Title: HOBO 1A Chamber 1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561439, SEN S/N: 10561439)","RH, % (LGR S/N: 10561439, SEN S/N: 10561439)","DewPt, °C (LGR S/N: 10561439, SEN S/N: 10561439)","Button Down (LGR S/N: 10561439, SEN S/N: 10561439)","Button Up (LGR S/N: 10561439, SEN S/N: 10561439)","Stopped (LGR S/N: 10561439, SEN S/N: 10561439)","End Of File (LGR S/N: 10561439, SEN S/N: 10561439)"
225,07/21/2014 12:14:00 PM,22.637,69.260,16.741,,,,
226,07/21/2014 12:15:00 PM,22.637,69.023,16.687,,,,
227,07/21/2014 12:16:00 PM,22.661,69.057,16.717,,,,
228,07/21/2014 12:17:00 PM,22.637,69.172,16.720,,,,
229,07/21/2014 12:18:00 PM,22.637,69.172,16.720,,,,
230,07/21/2014 12:19:00 PM,22.637,69.023,16.687,,,,
231,07/21/2014 12:20:00 PM,22.637,69.053,16.693,,,,
232,07/21/2014 12:21:00 PM,22.613,68.871,16.629,,,,
233,07/21/2014 12:22:00 PM,22.613,68.989,16.656,,,,
234,07/21/2014 12:23:00 PM,22.613,68.989,16.656,,,,
235,07/21/2014 12:24:00 PM,22.613,69.108,16.683,,,,
236,07/21/2014 12:25:00 PM,22.613,69.108,16.683,,,,
237,07/21/2014 12:26:00 PM,22.637,69.112,16.707,,,,
238,07/21/2014 12:27:00 PM,22.637,68.905,16.659,,,,
239,07/21/2014 12:28:00 PM,22.613,68.989,16.656,,,,
240,07/21/2014 12:29:00 PM,22.613,68.841,16.622,,,,
241,07/21/2014 12:30:00 PM,22.613,68.871,16.629,,,,
242,07/21/2014 12:31:00 PM,22.613,68.900,16.636,,,,
243,07/21/2014 12:32:00 PM,22.613,69.286,16.724,,,,
244,07/21/2014 12:33:00 PM,22.613,69.315,16.730,,,,
245,07/21/2014 12:34:00 PM,22.613,69.167,16.697,,,,
246,07/21/2014 12:35:00 PM,22.613,69.078,16.676,,,,
247,07/21/2014 12:36:00 PM,22.637,68.994,16.680,,,,
248,07/21/2014 12:37:00 PM,22.637,69.023,16.687,,,,
249,07/21/2014 12:38:00 PM,22.637,69.201,16.727,,,,
250,07/21/2014 12:39:00 PM,22.661,69.294,16.771,,,,
251,07/21/2014 12:40:00 PM,22.661,69.146,16.738,,,,
252,07/21/2014 12:41:00 PM,22.661,69.117,16.731,,,,
253,07/21/2014 12:42:00 PM,22.661,69.146,16.738,,,,
254,07/21/2014 12:43:00 PM,22.685,69.269,16.789,,,,
255,07/21/2014 12:44:00 PM,22.685,69.240,16.782,,,,
256,07/21/2014 12:45:00 PM,22.709,68.918,16.731,,,,
257,07/21/2014 12:46:00 PM,22.685,68.913,16.707,,,,
258,07/21/2014 12:47:00 PM,22.661,68.850,16.670,,,,
259,07/21/2014 12:48:00 PM,22.661,68.998,16.704,,,,
260,07/21/2014 12:49:00 PM,22.661,68.879,16.677,,,,
261,07/21/2014 12:50:00 PM,22.661,68.820,16.663,,,,
262,07/21/2014 12:51:00 PM,22.613,68.782,16.608,,,,
263,07/21/2014 12:52:00 PM,22.613,68.989,16.656,,,,
264,07/21/2014 12:53:00 PM,22.613,68.930,16.642,,,,
265,07/21/2014 12:54:00 PM,22.613,68.782,16.608,,,,
266,07/21/2014 12:55:00 PM,22.589,68.510,16.523,,,,
267,07/21/2014 12:56:00 PM,22.565,68.981,16.608,,,,
268,07/21/2014 12:57:00 PM,22.565,69.129,16.642,,,,
269,07/21/2014 12:58:00 PM,22.589,69.252,16.693,,,,
270,07/21/2014 12:59:00 PM,22.589,69.341,16.713,,,,
